databaseA,databaseB,descriptionA,descriptionB,label,,
course-dept_name,PXK-nf,dept_name: represents the name of the department that offers the course.,nf: the academic year when the course is offered,0,,
course-dept_name,KCM-pxkId,dept_name: represents the name of the department that offers the course.,pxkId: the identifier of the course offering,0,,
course-dept_name,KCM-jzId,dept_name: represents the name of the department that offers the course.,jzId: the identifier of the building where the course is held,0,,
course-dept_name,KCM-fjh,dept_name: represents the name of the department that offers the course.,fjh: the room number or identifier where the course is held,0,,
course-dept_name,KCM-scId,dept_name: represents the name of the department that offers the course.,scId: the identifier of the timeslot when the course is held,0,,
course-dept_name,JX-jsId,dept_name: represents the name of the department that offers the course.,jsId: the identifier of the teacher who instructs the course,0,,
course-dept_name,JX-pxkId,dept_name: represents the name of the department that offers the course.,pxkId: the identifier of the course offering being instructed,0,,
course-dept_name,JX-khr,dept_name: represents the name of the department that offers the course.,khr: the date when the course instruction starts,0,,
course-dept_name,JX-scId,dept_name: represents the name of the department that offers the course.,scId: the identifier of the timeslot when the course instruction is held,0,,
course-dept_name,JX-khjzId,dept_name: represents the name of the department that offers the course.,khjzId: the identifier of the building where the course instruction is held,0,,
course-dept_name,JX-khfjh,dept_name: represents the name of the department that offers the course.,khfjh: the room number or identifier where the course instruction is held,0,,
course-dept_name,XS-xsId,dept_name: represents the name of the department that offers the course.,xsId: a unique identifier for each student,0,,
course-dept_name,XS-xm,dept_name: represents the name of the department that offers the course.,xm: the name of the student,0,,
course-dept_name,XS-yxmc,dept_name: represents the name of the department that offers the course.,yxmc: the name of the school where the student is enrolled,1,,
course-dept_name,XS-zxf,dept_name: represents the name of the department that offers the course.,zxf: the total credits that the student has taken or is taking,0,,
course-dept_name,XS-zym,dept_name: represents the name of the department that offers the course.,zym: the name of the student's major,0,,
course-dept_name,XS-zzcj,dept_name: represents the name of the department that offers the course.,zzcj: the final grade of the student in the course,0,,
course-dept_name,XS-jsId,dept_name: represents the name of the department that offers the course.,jsId: the identifier of the teacher who instructs the course,0,,
course-dept_name,ZY-zym,dept_name: represents the name of the department that offers the course.,zym: the name of the major,0,,
course-dept_name,ZY-yxmc,dept_name: represents the name of the department that offers the course.,yxmc: the name of the school that offers the major,1,,
course-dept_name,ZY-xxnf,dept_name: represents the name of the department that offers the course.,xxnf: the academic year when the major is offered,0,,
course-dept_name,XX-xsId,dept_name: represents the name of the department that offers the course.,xsId: the identifier of the student who takes the course,0,,
course-dept_name,XX-pxkId,dept_name: represents the name of the department that offers the course.,pxkId: the identifier of the course offering being taken,0,,
course-dept_name,XX-cj,dept_name: represents the name of the department that offers the course.,cj: the grade of the student in the course,0,,
course-dept_name,SJ-scId,dept_name: represents the name of the department that offers the course.,scId: a unique identifier for each timeslot,0,,
course-dept_name,SJ-xq,dept_name: represents the name of the department that offers the course.,xq: the academic term or semester when the timeslot is offered,0,,
course-dept_name,SJ-kssj,dept_name: represents the name of the department that offers the course.,kssj: the start time of the timeslot,0,,
course-dept_name,SJ-jssj,dept_name: represents the name of the department that offers the course.,jssj: the end time of the timeslot,0,,
course-dept_name,XQ-kcId,dept_name: represents the name of the department that offers the course.,kcId: the identifier of the course being taken,0,,
course-dept_name,XQ-xykcId,dept_name: represents the name of the department that offers the course.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
course-credits,JZ-jzId,credits: represents the number of credits that the course is worth.,jzId: identifier of a building,0,,
course-credits,JZ-jzName,credits: represents the number of credits that the course is worth.,jzName: the name of a building,0,,
course-credits,JZ-wz,credits: represents the number of credits that the course is worth.,wz: location of the building,0,,
course-credits,FJ-jzId,credits: represents the number of credits that the course is worth.,jzId: identifier of a building,0,,
course-credits,FJ-fjh,credits: represents the number of credits that the course is worth.,fjh: room number,0,,
course-credits,FJ-rs,credits: represents the number of credits that the course is worth.,rs: number of occupants in the room.,0,,
course-credits,ysAp-jzId,credits: represents the number of credits that the course is worth.,jzId: identifier of a building,0,,
course-credits,ysAp-fjh,credits: represents the number of credits that the course is worth.,fjh: room number,0,,
course-credits,ysAp-sj,credits: represents the number of credits that the course is worth.,sj: time of an event,0,,
course-credits,ysAp-scId,credits: represents the number of credits that the course is worth.,scId: identifier of a time slot,0,,
course-credits,ysAp-ddrId,credits: represents the number of credits that the course is worth.,ddrId: identifier of the person who booked the room,0,,
course-credits,ysAp-yy,credits: represents the number of credits that the course is worth.,yy: reason for booking the room,0,,
course-credits,YX-yxmc,credits: represents the number of credits that the course is worth.,yxmc: name of a department,0,,
course-credits,YX-jzId,credits: represents the number of credits that the course is worth.,jzId: identifier of a building,0,,
course-credits,YX-ys,credits: represents the number of credits that the course is worth.,ys: budget for the department,0,,
course-credits,KC-kcId,credits: represents the number of credits that the course is worth.,kcId: identifier of a course,0,,
course-credits,KC-mc,credits: represents the number of credits that the course is worth.,mc: name of a course,0,,
course-credits,KC-yxmc,credits: represents the number of credits that the course is worth.,yxmc: name of the department offering the course,0,,
course-credits,KC-xf,credits: represents the number of credits that the course is worth.,xf: credits for the course.,1,,
course-credits,KC-yy,credits: represents the number of credits that the course is worth.,yy: language of instruction for the course,0,,
course-credits,JS-jsId,credits: represents the number of credits that the course is worth.,jsId: a unique identifier for each teacher,0,,
course-credits,JS-xm,credits: represents the number of credits that the course is worth.,xm: the name of the teacher,0,,
course-credits,JS-yxmc,credits: represents the number of credits that the course is worth.,yxmc: the name of the school where the teacher works,0,,
course-credits,JS-gn,credits: represents the number of credits that the course is worth.,gn: the teacher's expertise or specialty,0,,
course-credits,JS-zj,credits: represents the number of credits that the course is worth.,zj: the teacher's rank or seniority,0,,
course-credits,PXK-pxkId,credits: represents the number of credits that the course is worth.,pxkId: a unique identifier for each course offering,0,,
course-credits,PXK-kcId,credits: represents the number of credits that the course is worth.,kcId: the identifier of the course being offered,0,,
course-credits,PXK-khId,credits: represents the number of credits that the course is worth.,khId: the identifier of the class section,0,,
course-credits,PXK-xq,credits: represents the number of credits that the course is worth.,xq: the academic term or semester when the course is offered,0,,
course-credits,PXK-nf,credits: represents the number of credits that the course is worth.,nf: the academic year when the course is offered,0,,
course-credits,KCM-pxkId,credits: represents the number of credits that the course is worth.,pxkId: the identifier of the course offering,0,,
course-credits,KCM-jzId,credits: represents the number of credits that the course is worth.,jzId: the identifier of the building where the course is held,0,,
course-credits,KCM-fjh,credits: represents the number of credits that the course is worth.,fjh: the room number or identifier where the course is held,0,,
course-credits,KCM-scId,credits: represents the number of credits that the course is worth.,scId: the identifier of the timeslot when the course is held,0,,
course-credits,JX-jsId,credits: represents the number of credits that the course is worth.,jsId: the identifier of the teacher who instructs the course,0,,
course-credits,JX-pxkId,credits: represents the number of credits that the course is worth.,pxkId: the identifier of the course offering being instructed,0,,
course-credits,JX-khr,credits: represents the number of credits that the course is worth.,khr: the date when the course instruction starts,0,,
course-credits,JX-scId,credits: represents the number of credits that the course is worth.,scId: the identifier of the timeslot when the course instruction is held,0,,
course-credits,JX-khjzId,credits: represents the number of credits that the course is worth.,khjzId: the identifier of the building where the course instruction is held,0,,
course-credits,JX-khfjh,credits: represents the number of credits that the course is worth.,khfjh: the room number or identifier where the course instruction is held,0,,
course-credits,XS-xsId,credits: represents the number of credits that the course is worth.,xsId: a unique identifier for each student,0,,
course-credits,XS-xm,credits: represents the number of credits that the course is worth.,xm: the name of the student,0,,
course-credits,XS-yxmc,credits: represents the number of credits that the course is worth.,yxmc: the name of the school where the student is enrolled,0,,
course-credits,XS-zxf,credits: represents the number of credits that the course is worth.,zxf: the total credits that the student has taken or is taking,0,,
course-credits,XS-zym,credits: represents the number of credits that the course is worth.,zym: the name of the student's major,0,,
course-credits,XS-zzcj,credits: represents the number of credits that the course is worth.,zzcj: the final grade of the student in the course,0,,
course-credits,XS-jsId,credits: represents the number of credits that the course is worth.,jsId: the identifier of the teacher who instructs the course,0,,
course-credits,ZY-zym,credits: represents the number of credits that the course is worth.,zym: the name of the major,0,,
course-credits,ZY-yxmc,credits: represents the number of credits that the course is worth.,yxmc: the name of the school that offers the major,0,,
course-credits,ZY-xxnf,credits: represents the number of credits that the course is worth.,xxnf: the academic year when the major is offered,0,,
course-credits,XX-xsId,credits: represents the number of credits that the course is worth.,xsId: the identifier of the student who takes the course,0,,
course-credits,XX-pxkId,credits: represents the number of credits that the course is worth.,pxkId: the identifier of the course offering being taken,0,,
course-credits,XX-cj,credits: represents the number of credits that the course is worth.,cj: the grade of the student in the course,0,,
course-credits,SJ-scId,credits: represents the number of credits that the course is worth.,scId: a unique identifier for each timeslot,0,,
course-credits,SJ-xq,credits: represents the number of credits that the course is worth.,xq: the academic term or semester when the timeslot is offered,0,,
course-credits,SJ-kssj,credits: represents the number of credits that the course is worth.,kssj: the start time of the timeslot,0,,
course-credits,SJ-jssj,credits: represents the number of credits that the course is worth.,jssj: the end time of the timeslot,0,,
course-credits,XQ-kcId,credits: represents the number of credits that the course is worth.,kcId: the identifier of the course being taken,0,,
course-credits,XQ-xykcId,credits: represents the number of credits that the course is worth.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
instructor-ID,JZ-jzId,ID: represents the unique identifier of the instructor.,jzId: identifier of a building,0,,
instructor-ID,JZ-jzName,ID: represents the unique identifier of the instructor.,jzName: the name of a building,0,,
instructor-ID,JZ-wz,ID: represents the unique identifier of the instructor.,wz: location of the building,0,,
instructor-ID,FJ-jzId,ID: represents the unique identifier of the instructor.,jzId: identifier of a building,0,,
instructor-ID,FJ-fjh,ID: represents the unique identifier of the instructor.,fjh: room number,0,,
instructor-ID,FJ-rs,ID: represents the unique identifier of the instructor.,rs: number of occupants in the room.,0,,
instructor-ID,ysAp-jzId,ID: represents the unique identifier of the instructor.,jzId: identifier of a building,0,,
instructor-ID,ysAp-fjh,ID: represents the unique identifier of the instructor.,fjh: room number,0,,
instructor-ID,ysAp-sj,ID: represents the unique identifier of the instructor.,sj: time of an event,0,,
instructor-ID,ysAp-scId,ID: represents the unique identifier of the instructor.,scId: identifier of a time slot,0,,
instructor-ID,ysAp-ddrId,ID: represents the unique identifier of the instructor.,ddrId: identifier of the person who booked the room,1,,
instructor-ID,ysAp-yy,ID: represents the unique identifier of the instructor.,yy: reason for booking the room,0,,
instructor-ID,YX-yxmc,ID: represents the unique identifier of the instructor.,yxmc: name of a department,0,,
instructor-ID,YX-jzId,ID: represents the unique identifier of the instructor.,jzId: identifier of a building,0,,
instructor-ID,YX-ys,ID: represents the unique identifier of the instructor.,ys: budget for the department,0,,
instructor-ID,KC-kcId,ID: represents the unique identifier of the instructor.,kcId: identifier of a course,0,,
instructor-ID,KC-mc,ID: represents the unique identifier of the instructor.,mc: name of a course,0,,
instructor-ID,KC-yxmc,ID: represents the unique identifier of the instructor.,yxmc: name of the department offering the course,0,,
instructor-ID,KC-xf,ID: represents the unique identifier of the instructor.,xf: credits for the course.,0,,
instructor-ID,KC-yy,ID: represents the unique identifier of the instructor.,yy: language of instruction for the course,0,,
instructor-ID,JS-jsId,ID: represents the unique identifier of the instructor.,jsId: a unique identifier for each teacher,1,,
instructor-ID,JS-xm,ID: represents the unique identifier of the instructor.,xm: the name of the teacher,0,,
instructor-ID,JS-yxmc,ID: represents the unique identifier of the instructor.,yxmc: the name of the school where the teacher works,0,,
instructor-ID,JS-gn,ID: represents the unique identifier of the instructor.,gn: the teacher's expertise or specialty,0,,
instructor-ID,JS-zj,ID: represents the unique identifier of the instructor.,zj: the teacher's rank or seniority,0,,
instructor-ID,PXK-pxkId,ID: represents the unique identifier of the instructor.,pxkId: a unique identifier for each course offering,0,,
instructor-ID,PXK-kcId,ID: represents the unique identifier of the instructor.,kcId: the identifier of the course being offered,0,,
instructor-ID,PXK-khId,ID: represents the unique identifier of the instructor.,khId: the identifier of the class section,0,,
instructor-ID,PXK-xq,ID: represents the unique identifier of the instructor.,xq: the academic term or semester when the course is offered,0,,
instructor-ID,PXK-nf,ID: represents the unique identifier of the instructor.,nf: the academic year when the course is offered,0,,
instructor-ID,KCM-pxkId,ID: represents the unique identifier of the instructor.,pxkId: the identifier of the course offering,0,,
instructor-ID,KCM-jzId,ID: represents the unique identifier of the instructor.,jzId: the identifier of the building where the course is held,0,,
instructor-ID,KCM-fjh,ID: represents the unique identifier of the instructor.,fjh: the room number or identifier where the course is held,0,,
instructor-ID,KCM-scId,ID: represents the unique identifier of the instructor.,scId: the identifier of the timeslot when the course is held,0,,
instructor-ID,JX-jsId,ID: represents the unique identifier of the instructor.,jsId: the identifier of the teacher who instructs the course,1,,
instructor-ID,JX-pxkId,ID: represents the unique identifier of the instructor.,pxkId: the identifier of the course offering being instructed,0,,
instructor-ID,JX-khr,ID: represents the unique identifier of the instructor.,khr: the date when the course instruction starts,0,,
instructor-ID,JX-scId,ID: represents the unique identifier of the instructor.,scId: the identifier of the timeslot when the course instruction is held,0,,
instructor-ID,JX-khjzId,ID: represents the unique identifier of the instructor.,khjzId: the identifier of the building where the course instruction is held,0,,
instructor-ID,JX-khfjh,ID: represents the unique identifier of the instructor.,khfjh: the room number or identifier where the course instruction is held,0,,
instructor-ID,XS-xsId,ID: represents the unique identifier of the instructor.,xsId: a unique identifier for each student,0,,
instructor-ID,XS-xm,ID: represents the unique identifier of the instructor.,xm: the name of the student,0,,
instructor-ID,XS-yxmc,ID: represents the unique identifier of the instructor.,yxmc: the name of the school where the student is enrolled,0,,
instructor-ID,XS-zxf,ID: represents the unique identifier of the instructor.,zxf: the total credits that the student has taken or is taking,0,,
instructor-ID,XS-zym,ID: represents the unique identifier of the instructor.,zym: the name of the student's major,0,,
instructor-ID,XS-zzcj,ID: represents the unique identifier of the instructor.,zzcj: the final grade of the student in the course,0,,
instructor-ID,XS-jsId,ID: represents the unique identifier of the instructor.,jsId: the identifier of the teacher who instructs the course,1,,
instructor-ID,ZY-zym,ID: represents the unique identifier of the instructor.,zym: the name of the major,0,,
instructor-ID,ZY-yxmc,ID: represents the unique identifier of the instructor.,yxmc: the name of the school that offers the major,0,,
instructor-ID,ZY-xxnf,ID: represents the unique identifier of the instructor.,xxnf: the academic year when the major is offered,0,,
instructor-ID,XX-xsId,ID: represents the unique identifier of the instructor.,xsId: the identifier of the student who takes the course,0,,
instructor-ID,XX-pxkId,ID: represents the unique identifier of the instructor.,pxkId: the identifier of the course offering being taken,0,,
instructor-ID,XX-cj,ID: represents the unique identifier of the instructor.,cj: the grade of the student in the course,0,,
instructor-ID,SJ-scId,ID: represents the unique identifier of the instructor.,scId: a unique identifier for each timeslot,0,,
instructor-ID,SJ-xq,ID: represents the unique identifier of the instructor.,xq: the academic term or semester when the timeslot is offered,0,,
instructor-ID,SJ-kssj,ID: represents the unique identifier of the instructor.,kssj: the start time of the timeslot,0,,
instructor-ID,SJ-jssj,ID: represents the unique identifier of the instructor.,jssj: the end time of the timeslot,0,,
instructor-ID,XQ-kcId,ID: represents the unique identifier of the instructor.,kcId: the identifier of the course being taken,0,,
instructor-ID,XQ-xykcId,ID: represents the unique identifier of the instructor.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
instructor-name,JZ-jzId,name: represents the name of the instructor.,jzId: identifier of a building,0,,
instructor-name,JZ-jzName,name: represents the name of the instructor.,jzName: the name of a building,0,,
instructor-name,JZ-wz,name: represents the name of the instructor.,wz: location of the building,0,,
instructor-name,FJ-jzId,name: represents the name of the instructor.,jzId: identifier of a building,0,,
instructor-name,FJ-fjh,name: represents the name of the instructor.,fjh: room number,0,,
instructor-name,FJ-rs,name: represents the name of the instructor.,rs: number of occupants in the room.,0,,
instructor-name,ysAp-jzId,name: represents the name of the instructor.,jzId: identifier of a building,0,,
instructor-name,ysAp-fjh,name: represents the name of the instructor.,fjh: room number,0,,
instructor-name,ysAp-sj,name: represents the name of the instructor.,sj: time of an event,0,,
instructor-name,ysAp-scId,name: represents the name of the instructor.,scId: identifier of a time slot,0,,
instructor-name,ysAp-ddrId,name: represents the name of the instructor.,ddrId: identifier of the person who booked the room,0,,
instructor-name,ysAp-yy,name: represents the name of the instructor.,yy: reason for booking the room,0,,
instructor-name,YX-yxmc,name: represents the name of the instructor.,yxmc: name of a department,0,,
instructor-name,YX-jzId,name: represents the name of the instructor.,jzId: identifier of a building,0,,
instructor-name,YX-ys,name: represents the name of the instructor.,ys: budget for the department,0,,
instructor-name,KC-kcId,name: represents the name of the instructor.,kcId: identifier of a course,0,,
instructor-name,KC-mc,name: represents the name of the instructor.,mc: name of a course,0,,
instructor-name,KC-yxmc,name: represents the name of the instructor.,yxmc: name of the department offering the course,0,,
instructor-name,KC-xf,name: represents the name of the instructor.,xf: credits for the course.,0,,
instructor-name,KC-yy,name: represents the name of the instructor.,yy: language of instruction for the course,0,,
instructor-name,JS-jsId,name: represents the name of the instructor.,jsId: a unique identifier for each teacher,0,,
instructor-name,JS-xm,name: represents the name of the instructor.,xm: the name of the teacher,1,,
instructor-name,JS-yxmc,name: represents the name of the instructor.,yxmc: the name of the school where the teacher works,0,,
instructor-name,JS-gn,name: represents the name of the instructor.,gn: the teacher's expertise or specialty,0,,
instructor-name,JS-zj,name: represents the name of the instructor.,zj: the teacher's rank or seniority,0,,
instructor-name,PXK-pxkId,name: represents the name of the instructor.,pxkId: a unique identifier for each course offering,0,,
instructor-name,PXK-kcId,name: represents the name of the instructor.,kcId: the identifier of the course being offered,0,,
instructor-name,PXK-khId,name: represents the name of the instructor.,khId: the identifier of the class section,0,,
instructor-name,PXK-xq,name: represents the name of the instructor.,xq: the academic term or semester when the course is offered,0,,
instructor-name,PXK-nf,name: represents the name of the instructor.,nf: the academic year when the course is offered,0,,
instructor-name,KCM-pxkId,name: represents the name of the instructor.,pxkId: the identifier of the course offering,0,,
instructor-name,KCM-jzId,name: represents the name of the instructor.,jzId: the identifier of the building where the course is held,0,,
instructor-name,KCM-fjh,name: represents the name of the instructor.,fjh: the room number or identifier where the course is held,0,,
instructor-name,KCM-scId,name: represents the name of the instructor.,scId: the identifier of the timeslot when the course is held,0,,
instructor-name,JX-jsId,name: represents the name of the instructor.,jsId: the identifier of the teacher who instructs the course,0,,
instructor-name,JX-pxkId,name: represents the name of the instructor.,pxkId: the identifier of the course offering being instructed,0,,
instructor-name,JX-khr,name: represents the name of the instructor.,khr: the date when the course instruction starts,0,,
instructor-name,JX-scId,name: represents the name of the instructor.,scId: the identifier of the timeslot when the course instruction is held,0,,
instructor-name,JX-khjzId,name: represents the name of the instructor.,khjzId: the identifier of the building where the course instruction is held,0,,
instructor-name,JX-khfjh,name: represents the name of the instructor.,khfjh: the room number or identifier where the course instruction is held,0,,
instructor-name,XS-xsId,name: represents the name of the instructor.,xsId: a unique identifier for each student,0,,
instructor-name,XS-xm,name: represents the name of the instructor.,xm: the name of the student,0,,
instructor-name,XS-yxmc,name: represents the name of the instructor.,yxmc: the name of the school where the student is enrolled,0,,
instructor-name,XS-zxf,name: represents the name of the instructor.,zxf: the total credits that the student has taken or is taking,0,,
instructor-name,XS-zym,name: represents the name of the instructor.,zym: the name of the student's major,0,,
instructor-name,XS-zzcj,name: represents the name of the instructor.,zzcj: the final grade of the student in the course,0,,
instructor-name,XS-jsId,name: represents the name of the instructor.,jsId: the identifier of the teacher who instructs the course,0,,
instructor-name,ZY-zym,name: represents the name of the instructor.,zym: the name of the major,0,,
instructor-name,ZY-yxmc,name: represents the name of the instructor.,yxmc: the name of the school that offers the major,0,,
instructor-name,ZY-xxnf,name: represents the name of the instructor.,xxnf: the academic year when the major is offered,0,,
instructor-name,XX-xsId,name: represents the name of the instructor.,xsId: the identifier of the student who takes the course,0,,
instructor-name,XX-pxkId,name: represents the name of the instructor.,pxkId: the identifier of the course offering being taken,0,,
instructor-name,XX-cj,name: represents the name of the instructor.,cj: the grade of the student in the course,0,,
instructor-name,SJ-scId,name: represents the name of the instructor.,scId: a unique identifier for each timeslot,0,,
instructor-name,SJ-xq,name: represents the name of the instructor.,xq: the academic term or semester when the timeslot is offered,0,,
instructor-name,SJ-kssj,name: represents the name of the instructor.,kssj: the start time of the timeslot,0,,
instructor-name,SJ-jssj,name: represents the name of the instructor.,jssj: the end time of the timeslot,0,,
instructor-name,XQ-kcId,name: represents the name of the instructor.,kcId: the identifier of the course being taken,0,,
instructor-name,XQ-xykcId,name: represents the name of the instructor.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
instructor-dept_name,JZ-jzId,dept_name: represents the name of the department where the instructor works.,jzId: identifier of a building,0,,
instructor-dept_name,JZ-jzName,dept_name: represents the name of the department where the instructor works.,jzName: the name of a building,0,,
instructor-dept_name,JZ-wz,dept_name: represents the name of the department where the instructor works.,wz: location of the building,0,,
instructor-dept_name,FJ-jzId,dept_name: represents the name of the department where the instructor works.,jzId: identifier of a building,0,,
instructor-dept_name,FJ-fjh,dept_name: represents the name of the department where the instructor works.,fjh: room number,0,,
instructor-dept_name,FJ-rs,dept_name: represents the name of the department where the instructor works.,rs: number of occupants in the room.,0,,
instructor-dept_name,ysAp-jzId,dept_name: represents the name of the department where the instructor works.,jzId: identifier of a building,0,,
instructor-dept_name,ysAp-fjh,dept_name: represents the name of the department where the instructor works.,fjh: room number,0,,
instructor-dept_name,ysAp-sj,dept_name: represents the name of the department where the instructor works.,sj: time of an event,0,,
instructor-dept_name,ysAp-scId,dept_name: represents the name of the department where the instructor works.,scId: identifier of a time slot,0,,
instructor-dept_name,ysAp-ddrId,dept_name: represents the name of the department where the instructor works.,ddrId: identifier of the person who booked the room,0,,
instructor-dept_name,ysAp-yy,dept_name: represents the name of the department where the instructor works.,yy: reason for booking the room,0,,
instructor-dept_name,YX-yxmc,dept_name: represents the name of the department where the instructor works.,yxmc: name of a department,1,,
instructor-dept_name,YX-jzId,dept_name: represents the name of the department where the instructor works.,jzId: identifier of a building,0,,
instructor-dept_name,YX-ys,dept_name: represents the name of the department where the instructor works.,ys: budget for the department,0,,
instructor-dept_name,KC-kcId,dept_name: represents the name of the department where the instructor works.,kcId: identifier of a course,0,,
instructor-dept_name,KC-mc,dept_name: represents the name of the department where the instructor works.,mc: name of a course,0,,
instructor-dept_name,KC-yxmc,dept_name: represents the name of the department where the instructor works.,yxmc: name of the department offering the course,1,,
instructor-dept_name,KC-xf,dept_name: represents the name of the department where the instructor works.,xf: credits for the course.,0,,
instructor-dept_name,KC-yy,dept_name: represents the name of the department where the instructor works.,yy: language of instruction for the course,0,,
instructor-dept_name,JS-jsId,dept_name: represents the name of the department where the instructor works.,jsId: a unique identifier for each teacher,0,,
instructor-dept_name,JS-xm,dept_name: represents the name of the department where the instructor works.,xm: the name of the teacher,0,,
instructor-dept_name,JS-yxmc,dept_name: represents the name of the department where the instructor works.,yxmc: the name of the school where the teacher works,1,,
instructor-dept_name,JS-gn,dept_name: represents the name of the department where the instructor works.,gn: the teacher's expertise or specialty,0,,
instructor-dept_name,JS-zj,dept_name: represents the name of the department where the instructor works.,zj: the teacher's rank or seniority,0,,
instructor-dept_name,PXK-pxkId,dept_name: represents the name of the department where the instructor works.,pxkId: a unique identifier for each course offering,0,,
instructor-dept_name,PXK-kcId,dept_name: represents the name of the department where the instructor works.,kcId: the identifier of the course being offered,0,,
instructor-dept_name,PXK-khId,dept_name: represents the name of the department where the instructor works.,khId: the identifier of the class section,0,,
instructor-dept_name,PXK-xq,dept_name: represents the name of the department where the instructor works.,xq: the academic term or semester when the course is offered,0,,
instructor-dept_name,PXK-nf,dept_name: represents the name of the department where the instructor works.,nf: the academic year when the course is offered,0,,
instructor-dept_name,KCM-pxkId,dept_name: represents the name of the department where the instructor works.,pxkId: the identifier of the course offering,0,,
instructor-dept_name,KCM-jzId,dept_name: represents the name of the department where the instructor works.,jzId: the identifier of the building where the course is held,0,,
instructor-dept_name,KCM-fjh,dept_name: represents the name of the department where the instructor works.,fjh: the room number or identifier where the course is held,0,,
instructor-dept_name,KCM-scId,dept_name: represents the name of the department where the instructor works.,scId: the identifier of the timeslot when the course is held,0,,
instructor-dept_name,JX-jsId,dept_name: represents the name of the department where the instructor works.,jsId: the identifier of the teacher who instructs the course,0,,
instructor-dept_name,JX-pxkId,dept_name: represents the name of the department where the instructor works.,pxkId: the identifier of the course offering being instructed,0,,
instructor-dept_name,JX-khr,dept_name: represents the name of the department where the instructor works.,khr: the date when the course instruction starts,0,,
instructor-dept_name,JX-scId,dept_name: represents the name of the department where the instructor works.,scId: the identifier of the timeslot when the course instruction is held,0,,
instructor-dept_name,JX-khjzId,dept_name: represents the name of the department where the instructor works.,khjzId: the identifier of the building where the course instruction is held,0,,
instructor-dept_name,JX-khfjh,dept_name: represents the name of the department where the instructor works.,khfjh: the room number or identifier where the course instruction is held,0,,
instructor-dept_name,XS-xsId,dept_name: represents the name of the department where the instructor works.,xsId: a unique identifier for each student,0,,
instructor-dept_name,XS-xm,dept_name: represents the name of the department where the instructor works.,xm: the name of the student,0,,
instructor-dept_name,XS-yxmc,dept_name: represents the name of the department where the instructor works.,yxmc: the name of the school where the student is enrolled,1,,
instructor-dept_name,XS-zxf,dept_name: represents the name of the department where the instructor works.,zxf: the total credits that the student has taken or is taking,0,,
instructor-dept_name,XS-zym,dept_name: represents the name of the department where the instructor works.,zym: the name of the student's major,0,,
instructor-dept_name,XS-zzcj,dept_name: represents the name of the department where the instructor works.,zzcj: the final grade of the student in the course,0,,
instructor-dept_name,XS-jsId,dept_name: represents the name of the department where the instructor works.,jsId: the identifier of the teacher who instructs the course,0,,
instructor-dept_name,ZY-zym,dept_name: represents the name of the department where the instructor works.,zym: the name of the major,0,,
instructor-dept_name,ZY-yxmc,dept_name: represents the name of the department where the instructor works.,yxmc: the name of the school that offers the major,1,,
instructor-dept_name,ZY-xxnf,dept_name: represents the name of the department where the instructor works.,xxnf: the academic year when the major is offered,0,,
instructor-dept_name,XX-xsId,dept_name: represents the name of the department where the instructor works.,xsId: the identifier of the student who takes the course,0,,
instructor-dept_name,XX-pxkId,dept_name: represents the name of the department where the instructor works.,pxkId: the identifier of the course offering being taken,0,,
instructor-dept_name,XX-cj,dept_name: represents the name of the department where the instructor works.,cj: the grade of the student in the course,0,,
instructor-dept_name,SJ-scId,dept_name: represents the name of the department where the instructor works.,scId: a unique identifier for each timeslot,0,,
instructor-dept_name,SJ-xq,dept_name: represents the name of the department where the instructor works.,xq: the academic term or semester when the timeslot is offered,0,,
instructor-dept_name,SJ-kssj,dept_name: represents the name of the department where the instructor works.,kssj: the start time of the timeslot,0,,
instructor-dept_name,SJ-jssj,dept_name: represents the name of the department where the instructor works.,jssj: the end time of the timeslot,0,,
instructor-dept_name,XQ-kcId,dept_name: represents the name of the department where the instructor works.,kcId: the identifier of the course being taken,0,,
instructor-dept_name,XQ-xykcId,dept_name: represents the name of the department where the instructor works.,xykcId: the identifier of the course that serves as a prerequisite for the course,0,,
instructor-salary,JZ-jzId,salary: represents the annual salary of the instructor.,jzId: identifier of a building,0,,
instructor-salary,JZ-jzName,salary: represents the annual salary of the instructor.,jzName: the name of a building,0,,
instructor-salary,JZ-wz,salary: represents the annual salary of the instructor.,wz: location of the building,0,,
instructor-salary,FJ-jzId,salary: represents the annual salary of the instructor.,jzId: identifier of a building,0,,
instructor-salary,FJ-fjh,salary: represents the annual salary of the instructor.,fjh: room number,0,,
instructor-salary,FJ-rs,salary: represents the annual salary of the instructor.,rs: number of occupants in the room.,0,,
instructor-salary,ysAp-jzId,salary: represents the annual salary of the instructor.,jzId: identifier of a building,0,,
instructor-salary,ysAp-fjh,salary: represents the annual salary of the instructor.,fjh: room number,0,,
instructor-salary,ysAp-sj,salary: represents the annual salary of the instructor.,sj: time of an event,0,,
instructor-salary,ysAp-scId,salary: represents the annual salary of the instructor.,scId: identifier of a time slot,0,,
instructor-salary,ysAp-ddrId,salary: represents the annual salary of the instructor.,ddrId: identifier of the person who booked the room,0,,
instructor-salary,ysAp-yy,salary: represents the annual salary of the instructor.,yy: reason for booking the room,0,,
